atalanta,Atalanta
atalanta bergame,Atalanta
bologna,Bologna
bologne,Bologna
brescia,Brescia
cagliari,Cagliari
fiorentina,Fiorentina
florence,Fiorentina
genoa,Genoa
genoa cfc,Genoa
genes,Genoa
inter,Inter
inter milan,Inter
juventus,Juventus
lazio,Lazio
lazio rome,Lazio
lecce,Lecce
milan,Milan
napoli,Napoli
naples,Napoli
parma,Parma
parme,Parma
roma,Roma
rome,Roma
sampdoria,Sampdoria
sampdoria de genes,Sampdoria
sassuolo,Sassuolo
spal,Spal
spal ferrara,Spal
torino,Torino
turin,Torino
udinese,Udinese
verona,Verona
verone,Verona
hellas verone,Verona
hellas verona,Verona
ascoli,Ascoli
benevento,Benevento
chievo,Chievo
chievo verona,Chievo
chievo verone,Chievo
cittadella,Cittadella
cosenza,Cosenza
cosenza calcio,Cosenza
cremonese,Cremonese
crotone,Crotone
empoli,Empoli
frosinone,Frosinone
juve stabia,Juve Stabia
livorno,Livorno
livourne,Livorno
perouse,Perugia
perugia,Perugia
pescara,Pescara
pise,Pisa
pisa,Pisa
pordenone,Pordenone
salernitana,Salernitana
la spezia,Spezia
spezia,Spezia
trapani,Trapani
venezia,Venezia
venice,Venezia
venise,Venezia
virtus entella,Virtus Entella
hertha berlin,Hertha Berlin
hertha berlino,Hertha Berlin
hertha berliner,Hertha Berlin
hertha berliner sport club,Hertha Berlin
hertha,Hertha Berlin
dusseldorf,Fortuna Dusseldorf
fortuna dusseldorf,Fortuna Dusseldorf
f dusseldorf,Fortuna Dusseldorf
amiens,Amiens
marsiglia,Marseilles
olympique marsiglia,Marseilles
marseille,Marseilles
om marseille,Marseilles
olympique marseille,Marseilles
olympique de marseille,Marseilles
marseilles,Marseilles
real betis,Real Betis
real betis balompie,Real Betis
betis sevilla,Real Betis
betis seville,Real Betis
betis siviglia,Real Betis
eibar,Eibar
sd eibar,Eibar
leganes,Leganes
levante,Levante
brighton,Brighton
brighton hove albion,Brighton
tottenham,Tottenham
bayern munich,Bayern Munich
bayern monaco,Bayern Munich
bayern munchen,Bayern Munich
hoffenheim,Hoffenheim
tsg hoffenheim,Hoffenheim
tsg 1899 hoffenheim,Hoffenheim
1899 hoffenheim,Hoffenheim
bayer leverkusen,Bayer Leverkusen
leverkusen,Bayer Leverkusen
lipsia,RB Leipzig
leipzig,RB Leipzig
rasenballsport leipzig,RB Leipzig
freiburg,SC Freiburg
friburgo,SC Freiburg
fribourg,SC Freiburg
borussia dortmund,Borussia Dortmund
borussia 09 dortmund,Borussia Dortmund
bv 09 borussia dortmund,Borussia Dortmund
09 borussia dortmund,Borussia Dortmund
dortmund,Borussia Dortmund
paderborn,Paderborn
paderborn 07,Paderborn
mainz,Mainz
mainz 05,Mainz
mayence,Mainz
real madrid,Real Madrid
granada,Granada
grenade,Granada
burnley,Burnley
everton,Everton
liverpool,Liverpool
leicester,Leicester
leicester city,Leicester
sampdoria u19,Sampdoria U19
lazio u19,Lazio U19
atl madrid,Atletico Madrid
atletico madrid,Atletico Madrid
atletico de madrid,Atletico Madrid
shakhtar donetsk,Shakhtar Donetsk
chakhtar donetsk,Shakhtar Donetsk
dinamo zagreb,Dinamo Zagreb
dinamo zagabria,Dinamo Zagreb
club bruges,Club Brugge
club brugge,Club Brugge
psg,Paris Saint Germain
paris saint germain,Paris Saint Germain
galatasaray,Galatasaray
lokomotiv mosca,Lokomotiv Moscow
lokomotiv moscou,Lokomotiv Moscow
lokomotiv moskva,Lokomotiv Moscow
lokomotiv moscow,Lokomotiv Moscow
lok mosca,Lokomotiv Moscow
man city,Manchester City
manchester city,Manchester City
olympiakos,Olympiakos
olympiacos,Olympiakos
olympiacos pireo,Olympiakos
belgrado,Red Star Belgrade
belgrade,Red Star Belgrade
stella rossa,Red Star Belgrade
stella rossa belgrado,Red Star Belgrade
etoile rouge belgrade,Red Star Belgrade
etoile rouge de belgrade,Red Star Belgrade
red star belgrade,Red Star Belgrade
crvena zvezda,Red Star Belgrade
ajax,Ajax
ajax amsterdam,Ajax
chelsea,Chelsea
zenit sankt peterburg,Zenit Saint Petersburg
zenit saint petersburg,Zenit Saint Petersburg
zenit st petersburg,Zenit Saint Petersburg
zenit san pietroburgo,Zenit Saint Petersburg
zenit s pietroburgo,Zenit Saint Petersburg
zenith saint petersbourg,Zenit Saint Petersburg
zenit,Zenit Saint Petersburg
benfica,Benfica
sl benfica,Benfica
lione,Lyon
olympique lione,Lyon
lyon,Lyon
olympique lyon,Lyon
olympique lyonnais,Lyon
salisburgo,Salzburg
red bull salisburgo,Salzburg
salzburg,Salzburg
red bull salzburg,Salzburg
salzbourg,Salzburg
red bull salzbourg,Salzburg
genk,Genk
krc genk,Genk
lilla,Lille
lille,Lille
losc lille,Lille
losc,Lille
valencia,Valencia
valence,Valencia
slavia praga,Slavia Prague
slavia prague,Slavia Prague
sk slavia prague,Slavia Prague
slavia praha,Slavia Prague
barcellona,Barcelona
barcelone,Barcelona
barcelona,Barcelona
norwich,Norwich
norwich city,Norwich
aston villa,Aston Villa
watford,Watford
sheffield utd,Sheffield United
sheffield united,Sheffield United
west ham,West Ham
crystal palace,Crystal Palace
arsenal,Arsenal
bournemouth,Bournemouth
wolverhampton,Wolverhampton
wolves,Wolverhampton
southampton,Southampton
newcastle,Newcastle
man utd,Manchester United
manchester united,Manchester United
alaves,Alaves
deportivo alaves,Alaves
osasuna,Osasuna
villarreal,Villarreal
maiorca,Mallorca
real maiorca,Mallorca
mallorca,Mallorca
real mallorca,Mallorca
majorque,Mallorca
real majorque,Mallorca
espanyol,Espanyol
espanyol barcellona,Espanyol
celta vigo,Celta Vigo
celta de vigo,Celta Vigo
ath bilbao,Athletic Bilbao
atletico bilbao,Athletic Bilbao
athletic bilbao,Athletic Bilbao
athletic club,Athletic Bilbao
athletic club bilbao,Athletic Bilbao
valladolid,Valladolid
real valladolid,Valladolid
real sociedad,Real Sociedad
getafe,Getafe
siviglia,Seville
sevilla,Seville
seville,Seville
schalke 04,Schalke 04
schalke,Schalke 04
colonia,Cologne
koln,Cologne
1 koln,Cologne
koln 01 07,Cologne
1 koln 01 07,Cologne
cologne,Cologne
1 cologne,Cologne
borussia m gladbach,Borussia Mgladbach
borussia monchengladbach,Borussia Mgladbach
monchengladbach,Borussia Mgladbach
borussia vfl monchengladbach,Borussia Mgladbach
m gladbach,Borussia Mgladbach
augsburg,Augsburg
augsbourg,Augsburg
wolfsburg,Wolfsburg
wolfsbourg,Wolfsburg
vfl wolfsbourg,Wolfsburg
union berlino,Union Berlin
union berlin,Union Berlin
1 union berlin,Union Berlin
francoforte,Eintracht Frankfurt
eintracht francoforte,Eintracht Frankfurt
eintracht frankfurt,Eintracht Frankfurt
eintracht francfort,Eintracht Frankfurt
werder brema,Werder Bremen
werder bremen,Werder Bremen
werder breme,Werder Bremen
sportverein werder von 1899,Werder Bremen
sportverein werder bremen von 1899,Werder Bremen
angers,Angers
angers sco,Angers
brest,Brest
stade brestois 29,Brest
stade brest,Brest
metz,Metz
digione,Dijon
dijon,Dijon
dijon football cote d or,Dijon
dijon fco,Dijon
strasburgo,Strasbourg
racing strasburgo,Strasbourg
strasbourg,Strasbourg
racing strasbourg,Strasbourg
racing club de strasbourg alsace,Strasbourg
racing strassburg,Strasbourg
montpellier,Montpellier
montpellier herault sport club,Montpellier
montpellier hsc,Montpellier
monaco,Monaco
association sportive de monaco,Monaco
nantes,Nantes
nizza,Nice
nice,Nice
ogc nice,Nice
tolosa,Toulouse
toulouse,Toulouse
bordeaux,Bordeaux
girondins de bordeaux,Bordeaux
nimes,Nimes
nimes olympique,Nimes
olympique nimes,Nimes
rennes,Rennes
stade rennais,Rennes
reims,Reims
stade de reims,Reims
asse,St Etienne
st etienne,St Etienne
saint etienne,St Etienne
como,Como
giana erminio,Giana Erminio
erminio giana,Giana Erminio
giana erminio gorgonzola,Giana Erminio
novara,Novara
pro vercelli,Pro Vercelli
albinoleffe,AlbinoLeffe
siena,Siena
gozzano,Gozzano
asdc gozzano,Gozzano
carrarese,Carrarese
pistoiese,Pistoiese
olbia,Olbia
pro patria,Pro Patria
lecco,Lecco
pianese,Pianese
juventus u23,Juventus U23
alessandria,Alessandria
alessandria calcio 1912,Alessandria
pontedera,Pontedera
arezzo,Arezzo
monza,Monza
pergolettese,Pergolettese
renate,Renate
pesaro,Vis Pesaro
vis pesaro,Vis Pesaro
fermana,Fermana
reggio audace,Reggio Audace
gubbio,Gubbio
sambenedettese,Sambenedettese
piacenza,Piacenza
sudtirol,Sudtirol
modena,Modena
triestina,Triestina
ravenna,Ravenna
carpi,Carpi
feralpisalo,Feralpisalo
imolese,Imolese
fano,Fano
padoue,Padova
padua,Padova
padova,Padova
arzignano valchiampo,Arzignano Valchiampo
rimini,Rimini
virtus verona,Virtus Verona
vicenza,Vicenza
cesena,Cesena
teramo,Teramo
rieti,Rieti
avellino,Avellino
rende,Rende
bari,Bari
cavese,Cavese
potenza,Potenza
viterbese,Viterbese
ternana,Ternana
catania,Catania
sicula leonzio,Sicula Leonzio
asd sicula leonzio,Sicula Leonzio
monopoli,Monopoli
bisceglie,Bisceglie
bisceglie 1913,Bisceglie
picerno,AZ Picerno
az picerno,AZ Picerno
az picerno asd,AZ Picerno
catanzaro,Catanzaro
francavilla,Virtus Francavilla
virtus francavilla,Virtus Francavilla
paganese,Paganese
reggina,Reggina
vibonese,Vibonese
casertana,Casertana
mestre,Mestre
montebelluna,Montebelluna
sasso marconi,Sasso Marconi
asd sasso marconi,Sasso Marconi
fanfulla cavenago,Fanfulla Cavenago
villafranca,Villafranca
asd villafranca,Villafranca
feltre,Union Feltre
union feltre,Union Feltre
union feltre asd,Union Feltre
chieti,Chieti
cattolica,Cattolica SM Calcio
cattolica calcio,Cattolica SM Calcio
cattolica sm calcio,Cattolica SM Calcio
andria,Fidelis Andria
fidelis andria,Fidelis Andria
brindisi,Brindisi
pomezia,Pomezia
sangiovannese,Sangiovannese
sammaurese,Sammaurese
progresso calcio,SCD Progresso Calcio
scd progresso calcio,SCD Progresso Calcio
sangiustese,Sangiustese
olympia agnonese,Olympia Agnonese
breno,US Breno
savignanese,ASD Savignanese
asd savignanese,ASD Savignanese
palmese,US Palmese
biancavilla,ASD Biancavilla
asd biancavilla,ASD Biancavilla
virtus flaminia,Virtus Flaminia
scandicci,Scandicci
nardo,Nardo
cerignola,Audace Cerignola
audace cerignola,Audace Cerignola
inter u19,Inter U19
juventus u19,Juventus U19
az,AZ
az alkmaar,AZ
alkmaar zaanstreek,AZ
astana,FC Astana
besiktas,Besiktas
cska mosca,CSKA Moscow
cska moscow,CSKA Moscow
cska moscou,CSKA Moscow
cska moskva,CSKA Moscow
ferencvarosi,Ferencvarosi TC
ferencvarosi tc,Ferencvarosi TC
ferencvarosi torna club,Ferencvarosi TC
qarabag,FK Qarabag
fk qarabag,FK Qarabag
qarabag fk,FK Qarabag
apoel,APOEL Nicosia
apoel nicosia,APOEL Nicosia
gent,Gent
la gantoise,Gent
istanbul basaksehir,Istanbul Basaksehir
istanbul basaksehir fk,Istanbul Basaksehir
basaksehir,Istanbul Basaksehir
wolfsberger,RZ Pellets Wolfsberger AC
rz pellets wac,RZ Pellets Wolfsberger AC
ludogorets,Ludogorets Razgrad
ludogorets razgrad,Ludogorets Razgrad
pfc ludogorets,Ludogorets Razgrad
partizan,Partizan Belgrade
fk partizan,Partizan Belgrade
partizan belgrado,Partizan Belgrade
partizan de belgrade,Partizan Belgrade
partizan belgrade,Partizan Belgrade
porto,Porto
glasgow rangers,Glasgow Rangers
rangers,Glasgow Rangers
slovan bratislava,Slovan Bratislava
sk slovan bratislava,Slovan Bratislava
oleksandria,PFC Oleksandria
pfc oleksandria,PFC Oleksandria
young boys,Young Boys
feyenoord,Feyenoord
feyenoord rotterdam,Feyenoord
guimaraes,Vitoria Guimaraes
vitoria guimaraes,Vitoria Guimaraes
vitoria de guimaraes,Vitoria Guimaraes
celtic,Celtic Glasgow
