atalanta,Atalanta
bologna,Bologna
brescia,Brescia
cagliari,Cagliari
fiorentina,Fiorentina
florence,Fiorentina
genoa,Genoa
inter,Inter
inter milan,Inter
inter-milan,Inter
juventus,Juventus
lazio,Lazio
lecce,Lecce
milan,Milan
napoli,Napoli
naples,Napoli
parma,Parma
roma,Roma
rome,Roma
sampdoria,Sampdoria
sassuolo,Sassuolo
spal,Spal
torino,Torino
turin,Torino
udinese,Udinese
verona,Verona
ascoli,Ascoli
benevento,Benevento
chievo,Chievo
cittadella,Cittadella
cosenza,Cosenza
cremonese,Cremonese
crotone,Crotone
empoli,Empoli
frosinone,Frosinone
juve stabia,Juve Stabia
livorno,Livorno
perugia,Perugia
pescara,Pescara
pisa,Pisa
pordenone,Pordenone
salernitana,Salernitana
spezia,Spezia
trapani,Trapani
venezia,Venezia
venice,Venezia
virtus entella,Virtus Entella
