Bookmaker,StartDate,StartTime,RealTime,Team1,Team2,Result,Quote1,QuoteX,Quote2;
b365,2019_10_01,16:55,N/A,Atalanta,Shakhtar Donetsk,N/A,1.80,3.75,4.33;
b365,2019_10_01,16:55,N/A,Real Madrid,Club Bruges,N/A,1.25,6.50,10.00;
b365,2019_10_01,19:00,N/A,Galatasaray,Paris Saint Germain,N/A,9.00,5.25,1.33;
b365,2019_10_01,19:00,N/A,Juventus,Bayer Leverkusen,N/A,1.50,4.00,7.00;
b365,2019_10_01,19:00,N/A,Lokomotiv Mosca,Atletico Madrid,N/A,6.25,3.60,1.61;
b365,2019_10_01,19:00,N/A,Manchester City,Dinamo Zagabria,N/A,1.07,11.00,34.00;
b365,2019_10_01,19:00,N/A,Stella Rossa Belgrado,Olympiakos,N/A,3.00,3.25,2.40;
b365,2019_10_01,19:00,N/A,Tottenham,Bayern Monaco,N/A,3.30,3.60,2.10;
b365,2019_10_02,16:55,N/A,Genk,Napoli,N/A,7.50,5.00,1.40;
b365,2019_10_02,16:55,N/A,Slavia Praga,Borussia Dortmund,N/A,3.80,3.75,1.90;
b365,2019_10_02,19:00,N/A,Barcellona,Inter,N/A,1.61,4.20,5.25;
b365,2019_10_02,19:00,N/A,Lilla,Chelsea,N/A,3.60,3.50,2.05;
b365,2019_10_02,19:00,N/A,Liverpool,FC Salisburgo,N/A,1.30,6.00,8.50;
b365,2019_10_02,19:00,N/A,RB Lipsia,Lione,N/A,1.65,4.33,4.50;
b365,2019_10_02,19:00,N/A,Valencia,Ajax,N/A,2.40,3.60,2.80;
b365,2019_10_02,19:00,N/A,Zenit S. Pietroburgo,Benfica,N/A,2.25,3.40,3.20;
b365,2019_10_03,14:50,N/A,FC Astana,Partizan Belgrado,N/A,1.90,3.20,4.33;
b365,2019_10_03,16:55,N/A,AZ,Manchester United,N/A,3.00,3.20,2.45;
b365,2019_10_03,16:55,N/A,Besiktas,Wolverhampton,N/A,2.70,3.25,2.60;
b365,2019_10_03,16:55,N/A,Braga,Slovan Bratislava,N/A,1.33,4.50,11.00;
b365,2019_10_03,16:55,N/A,CSKA Mosca,Espanyol,N/A,2.05,3.20,3.80;
b365,2019_10_03,16:55,N/A,Ferencvarosi TC,Ludogorets Razgrad,N/A,2.62,3.20,2.75;
b365,2019_10_03,16:55,N/A,Feyenoord,Porto,N/A,3.30,3.20,2.20;
b365,2019_10_03,16:55,N/A,Istanbul Basaksehir,Borussia M'gladbach,N/A,3.10,3.20,2.30;
b365,2019_10_03,16:55,N/A,PFC Oleksandria,Gent,N/A,5.00,3.60,1.72;
b365,2019_10_03,16:55,N/A,St Etienne,Wolfsburg,N/A,2.87,3.20,2.50;
b365,2019_10_03,16:55,N/A,Wolfsberger AC,Roma,N/A,5.25,3.60,1.66;
b365,2019_10_03,16:55,N/A,Young Boys,Glasgow Rangers,N/A,1.90,3.40,4.00;
b365,2019_10_03,19:00,N/A,Arsenal,Standard Liegi,N/A,1.33,5.25,8.00;
b365,2019_10_03,19:00,N/A,Celtic,CFR Cluj,N/A,1.50,3.75,7.50;
b365,2019_10_03,19:00,N/A,F91 Dudelange,FK Qarabag,N/A,5.00,3.60,1.72;
b365,2019_10_03,19:00,N/A,Guimaraes,Eintracht Francoforte,N/A,4.33,3.30,1.90;
b365,2019_10_03,19:00,N/A,Krasnodar,Getafe,N/A,2.55,3.10,2.87;
b365,2019_10_03,19:00,N/A,Lazio,Rennes,N/A,1.53,4.00,6.25;
b365,2019_10_03,19:00,N/A,Lugano,Dinamo Kiev,N/A,3.50,3.20,2.10;
b365,2019_10_03,19:00,N/A,Malmo FF,FC Copenhagen,N/A,2.05,3.25,3.75;
b365,2019_10_03,19:00,N/A,Rosenborg,PSV Eindhoven,N/A,4.75,3.40,1.80;
b365,2019_10_03,19:00,N/A,Siviglia,Apoel Nicosia,N/A,1.22,6.00,13.00;
b365,2019_10_03,19:00,N/A,Sporting,LASK Linz,N/A,1.72,3.80,4.75;
b365,2019_10_03,19:00,N/A,Trabzonspor,Basilea,N/A,2.35,3.30,3.10;
b365,2019_09_30,N/A,93:42,Parma,Torino,3-2,3.20,3.20,2.35;
b365,2019_10_04,18:45,N/A,Brescia,Sassuolo,N/A,2.50,3.20,2.87;
b365,2019_10_05,13:00,N/A,Spal,Parma,N/A,2.10,3.30,3.40;
b365,2019_10_05,16:00,N/A,Verona,Sampdoria,N/A,2.75,3.20,2.60;
b365,2019_10_05,18:45,N/A,Genoa,Milan,N/A,2.90,3.20,2.45;
b365,2019_10_06,10:30,N/A,Fiorentina,Udinese,N/A,1.53,4.00,6.00;
b365,2019_10_06,13:00,N/A,Atalanta,Lecce,N/A,1.28,5.25,10.00;
b365,2019_10_06,13:00,N/A,Bologna,Lazio,N/A,3.00,3.50,2.25;
b365,2019_10_06,13:00,N/A,Roma,Cagliari,N/A,1.36,5.00,7.50;
b365,2019_10_06,16:00,N/A,Torino,Napoli,N/A,3.50,3.60,2.00;
b365,2019_10_06,18:45,N/A,Inter,Juventus,N/A,2.60,3.20,2.80;
b365,2019_09_30,N/A,84:27,Manchester United,Arsenal,1-1,5.50,1.33,7.50;
b365,2019_10_05,11:30,N/A,Brighton,Tottenham,N/A,4.00,3.60,1.85;
b365,2019_10_05,14:00,N/A,Burnley,Everton,N/A,2.90,3.25,2.40;
b365,2019_10_05,14:00,N/A,Liverpool,Leicester,N/A,1.40,4.75,7.50;
b365,2019_10_05,14:00,N/A,Norwich,Aston Villa,N/A,2.25,3.60,2.90;
b365,2019_10_05,14:00,N/A,Watford,Sheffield United,N/A,2.15,3.30,3.40;
b365,2019_10_05,16:30,N/A,West Ham,Crystal Palace,N/A,2.00,3.40,3.75;
b365,2019_10_06,13:00,N/A,Arsenal,Bournemouth,N/A,1.36,5.00,7.50;
b365,2019_10_06,13:00,N/A,Manchester City,Wolverhampton,N/A,1.12,8.00,21.00;
b365,2019_10_06,13:00,N/A,Southampton,Chelsea,N/A,4.00,3.75,1.83;
b365,2019_10_06,15:30,N/A,Newcastle,Manchester United,N/A,4.00,3.50,1.90;
b365,2019_10_19,11:30,N/A,Everton,West Ham,N/A,2.05,3.50,3.40;
b365,2019_10_19,14:00,N/A,Aston Villa,Brighton,N/A,2.37,3.30,2.90;
b365,2019_10_19,14:00,N/A,Bournemouth,Norwich,N/A,1.85,4.00,3.60;
b365,2019_10_19,14:00,N/A,Chelsea,Newcastle,N/A,1.30,5.50,9.00;
